Highlight,Book Title,Book Author,Amazon Book ID,Note,Color,Tags,Location Type,Location
"An impact map communicates scope, goals and priorities, but also assumptions on two levels. The first is that a deliverable will cause a change in behaviour of an actor, produce an impact. The second is that once the impact is achieved, the relevant actor will contribute to the overall objectives.",Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,275
"Impact maps bridge the two worlds: they facilitate strategic planning and thinking to create a big-picture view focused on key business objectives, but also facilitate learning through delivery and help us manage project roadmaps. They represent and organise delivery scope in a way that is easy to evolve, reprioritise, grow and shrink as necessary to react to changed market opportunities or new knowledge.",Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,256
"An impact map puts all the deliverables in the context of the impacts that they are supposed to support. This helps with breaking deliverables down into independent chunks that provide clear business value, and helps us launch something valuable sooner. A clear hierarchy allows us to group related deliverables, compare them and avoid over-investing in less important actors or impacts. It also helps us to throw out deliverables that do not really contribute to any important impact for a particular goal. Finally, by connecting deliverables to impacts and goals, a map shows the chain of reasoning that led to a feature suggestion, visualising the assumptions of stakeholders. This allows us to scrutinise those decisions better and re-evaluate them as new information becomes available through delivery.",Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,212
"Once we have the first three questions answered, we can talk about scope. The third level of an impact map answers the following question: What can we do, as an organisation or a delivery team, to support the required impacts? These are the deliverables, software features and organisational activities.",Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,206
"Impacts are not product features. Avoid listing software ideas here, focus on business activities.",Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,201
The second level of an impact map sets the actors in the perspective of our business goal. It answers the following questions: How should our actors' behaviour change? How can they help us to achieve the goal? How can they obstruct or prevent us from succeeding? These are the impacts that we're trying to create.,Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,188
The first level of an impact map provides answers to the following questions: Who can produce the desired effect? Who can obstruct it? Who are the consumers or users of our product? Who will be impacted by it? These are the actors who can influence the outcome.,Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,169
"Goals should not be about building products or delivering project scope. They should explain why such a thing would be useful. Goals should present the problem to be solved, not the solution. Avoid design constraints in a goal definition.",Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,162
"The purpose of a goal definition is to allow the delivery organisation and business sponsors to re-evaluate the plan as new information becomes available. For this reason, good goals tend to be SMART: Specific, Measurable, Action-oriented, Realistic and Timely.",Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,160
"Assumptions validated by consistent data from actual experiments enable the creation of real value. An impact map connects candidate causes with desired effects. It is a map of assumptions connecting causes and effects. It helps you to find the right questions, which is much more difficult than finding good answers.",Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,63
"Agile approaches use ‘working software’ as this visualization by rapidly implementing small collections of user stories which non-software disciplines can provide feedback on. However, while working software can validate choices, it does not help a lot with discovering and selecting those sets of user stories whose implementation will delight the people who will use the solution to achieve the overall purpose.",Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,37
"If a product milestone or project succeeds in delivering the expected business goal, it is a success from a business perspective, even if the delivered scope ends up being different from what was originally envisaged.",Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,155
disparate perspectives and even vocabularies dominating each discipline make unambiguous communication difficult.,Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,35
Baseline metrics are useful for narrowing the solution space that you explore in order to accomplish your investment goals. They are also useful for identifying when you should pause pursuing your goals and instead invest in platform quality.,An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,881
"There are two particularly interesting kinds of goals: investments and baselines. Investments describe a future state that you want to reach, and baselines describe aspects of the present that you want to preserve.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,872
"The two tests of an effective goal are whether someone who doesn’t know much about an area can get a feel for a goal’s degree of difficulty, and whether afterward they can evaluate if it was successfully achieved.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,869
Good goals are a composition of four specific kinds of numbers: A target states where you want to reach. A baseline identifies where you are today. A trend describes the current velocity. A time frame sets bounds for the change.,An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,862
"A good vision is composed of: Vision statement: A one- or two-sentence aspirational statement to summarize the rest of the document. This is your core speaking point, which you will repeat at each meeting, planning period, and strategy review. It shouldn’t try to capture every detail of your vision, but it does need to memorably evoke your vision effectively. Value proposition: How will you be valuable to your users and to your company? What kinds of success will you enable them to achieve? There is a sequencing question of whether you should start with capabilities (the next bullet) and reason into value proposition or do the opposite, but I’ve found that starting from your users leads to visions that are both more ambitious and more grounded. Capabilities: What capabilities will the product, platform, or team need in order to deliver on your value proposition? Will it need to support multiple independent business lines? Will it need to deliver against the disparate needs of several distinct customer cohorts? Solved constraints: What are the constraints that you’re limited by today, but that in the future you’ll no longer be constrained by? For example, if you’re currently “spending into” developer velocity, perhaps in the future you’ll be able to achieve significant developer velocity while also maintaining low costs. Future constraints: What are the constraints that you expect to encounter in this wonderful future? Hopefully, these new constraints will be things that are easy to adjust, like funding or hiring. Reference materials: Link all the existing plans, metrics, updates, references, and documents into an appendix for those who want to understand more of the thinking that went into the vision. This allows you to shed complexity from your vision document without sacrificing context. Narrative: Once you’ve written the previous sections, the last step of writing a compelling vision is to synthesize all those details into a short—maybe one-page—narrative that serves as an easy-to-digest summary. In your final document, this is probably the second section, following the statement.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,815
"If strategies describe the harsh trade-offs necessary to overcome a particular challenge, then visions describe a future in which those trade-offs are no longer mutually exclusive. An effective vision helps folks think beyond the constraints of their local maxima, and lightly aligns progress without requiring tight centralized coordination.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,810
"When you apply your guiding policies to your diagnosis, you get your actions. Folks are often comfortable with hard decisions in the abstract, but struggle to translate policies into the specific steps to implement them.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,795
"The diagnosis is a theory describing the challenge at hand. It calls out the factors and constraints that define the challenge, and at its core is a very thorough problem statement.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,781
"A strategy recommends specific actions that address a given challenge’s constraints. A structure that I’ve found extremely effective13 is described in Good Strategy/Bad Strategy by Richard Rumelt,14 and has three sections: diagnosis, policies, and actions.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,777
Strategies are grounded documents which explain the trade-offs and actions that will be taken to address a specific challenge. Visions are aspirational documents that enable individuals who don’t work closely together to make decisions that fit together cleanly.,An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,767
"The elements that I’ve found effective for solution validation are: Write a customer letter. Write the launch announcement that you would send after finishing the solution. Are you able to write something exciting, useful, and real? It’s much more useful to test it against your actual users than to rely on your intuition. Identify prior art. How do peers across the industry approach this problem? The fact that others have solved a problem in a certain way doesn’t mean that it’s a great way, but it does at least mean it’s possible. A mild caveat: it’s better to rely on people you have some connection to instead of on conference talks and such, since there is a surprisingly large amount of misinformation out there. Find reference users. Can you find users who are willing to be the first users for the solution? If you can’t, you should be skeptical whether what you’re building is worthwhile. Prefer experimentation over analysis. It’s far more reliable to get good at cheap validation than it is to get great at consistently picking the right solution.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,732
"Users’ pain. What are the problems that your users experience? It’s useful to go broad via survey mechanisms, as well as to go deep by interviewing a smaller set of interesting individuals across different user segments. Users’ purpose. What motivates your users to engage with your systems? How can you better enable users to accomplish their goals?",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,686
"The first phase of a planning cycle is exploring the different problems that you could pick to solve. It’s surprisingly common to skip this phase, but that, unsurprisingly, leads to inertia-driven local optimization. Taking the time to evaluate which problem to solve is one of the best predictors I’ve found of a team’s long-term performance.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,683
"These dimensions kind of intuitively make sense as measures of productivity, but let’s see if we can model them into a system that we can use to reason about developer productivity: Pull requests are converted into ready commits based on our code review rate. Ready commits convert into deployed commits at deploy rate. Deployed commits convert into incidents at defect rate. Incidents are remediated into reverted commits at recovery rate. Reverted commits are debugged into new pull requests at debug rate. Linking these pieces together, we see a feedback loop, in which the system’s downstream behavior impacts its upstream behavior. With a sufficiently high defect rate or slow recovery rate, you could easily see a world where each deploy leaves you even further behind.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,639
four measures of developer velocity: Delivery lead time is the time from the creation of code to its use in production. Deployment frequency is how often you deploy code. Change fail rate is how frequently changes fail. Time to restore service is the time spent recovering from defects.,An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,632
"the idea of organizational debt. This is the organizational sibling of technical debt, and it represents things like biased interview processes and inequitable compensation mechanisms. These are systemic problems that are preventing your organization from reaching its potential. Like technical debt, these risks linger because they are never the most pressing problem. Until that one fateful moment when they are.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,524
"Finally, a related antipattern is the gatekeeper pattern. Having humans who perform gatekeeping activities creates very odd social dynamics, and is rarely a great use of a human’s time. When at all possible, build systems with sufficient isolation that you can allow most actions to go forward. And when they do occasionally fail, make sure that they fail with a limited blast radius.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,510
"if you can keep your interfaces generic, then you are able to skip the migration phase of system re-implementation, which tends to be the longest and trickiest phase, and you can iterate much more quickly and maintain fewer concurrent versions. There is absolutely a cost to maintaining this extra layer of indirection, but if you’ve already rewritten a system twice, take the time to abstract the interface as part of the third rewrite and thank yourself later.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,506
"Finally, the one thing that I’ve found at companies with very few interruptions and have observed almost nowhere else: really great, consistently available documentation. It’s probably even harder to bootstrap documentation into a non-documenting company than it is to bootstrap unit tests into a non-testing company, but the best solution to frequent interruptions I’ve seen is a culture of documentation, documentation reading, and a documentation search that actually works.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,496
the real productivity killer is not system rewrites but the migrations that follow those rewrites. Poorly designed migrations expand the consequences of this rewrite loop from the individual teams supporting the systems to the entire surrounding organization.,An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,456
"For every additional order of magnitude of engineers, you need to design and maintain a new layer of management. For every ~10 engineers, you need an additional team, which requires more coordination.14 Each engineer means more commits and deployments per day, creating load on your development tools. Most outages are caused by deployments, so more deployments drive more outages, which in turn require incident management, mitigations, and postmortems. Having more engineers leads to more specialized teams and systems, which require increasingly small on-call rotations so that your on-call engineers have enough system context to debug and resolve production issues. Consequently, relative time invested in on-call goes up.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,427
"The other approach that I’ve seen work well is to rotate individuals for a fixed period into an area that needs help. The fixed duration allows them to retain their identity and membership in their current team, giving their full focus to helping out, rather than splitting their focus between performing the work and finding membership in the new team. This is also a safe way to measure how much slack the team really has!",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,385
"Shifting scope works better than moving people because it avoids re-gelling costs, and it preserves system behavior. Preserving behavior keeps your existing mental model intact, and if it doesn’t work out, you can always revert a workload change with less disruption than would be caused by a staffing change.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,383
"My rule of thumb is that it takes eight engineers on a team to support a two-tier on-call rotation, so I’m generally reluctant to move any team with membership below that line. However, fixed costs come in many other varieties: “keeping the lights on” work, precommitted contracts, support questions from other teams, etc.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,358
"Fundamentally, I believe that sustained productivity comes from high-performing teams, and that disassembling a high-performing team leads to a significant loss of productivity, even if the members are fully retained. In this worldview, high-performing teams are sacred, and I’m quite hesitant to disassemble them.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,344
"Adding new individuals to a team disrupts that team’s gelling process, so I’ve found it much easier to have rapid growth periods for any given team, followed by consolidation/gelling periods during which the team gels. The organization will never stop growing, but each team will.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,329
"The framework starts with a vocabulary for describing teams and their performance within their surrounding context. Teams are slotted into a continuum of four states: A team is falling behind if each week their backlog is longer than it was the week before. Typically, people are working extremely hard but not making much progress, morale is low, and your users are vocally dissatisfied. A team is treading water if they’re able to get their critical work done, but are not able to start paying down technical debt or begin major new projects. Morale is a bit higher, but people are still working hard, and your users may seem happier because they’ve learned that asking for help won’t go anywhere. A team is repaying debt when they’re able to start paying down technical debt, and are beginning to benefit from the debt repayment snowball: each piece of debt you repay leads to more time to repay more debt. A team is innovating when their technical debt is sustainably low, morale is high, and the majority of work is satisfying new user needs.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,277
"Fitting together those guiding principles, the playbook that I’ve developed is surprisingly simple and effective: Teams should be six to eight during steady state. To create a new team, grow an existing team to eight to ten, and then bud into two teams of four or five. Never create empty teams. Never leave managers supporting more than eight individuals.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,257
"Keep innovation and maintenance together. A frequent practice is to spin up a new team to innovate while existing teams are bogged down in maintenance. I’ve historically done this myself, but I’ve moved toward innovating within existing teams.5 This requires very deliberate decision-making and some bravery, but in exchange you’ll get higher morale and a culture of learning, and will avoid creating a two-tiered class system of innovators and maintainers.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,253
"I’ve sponsored quite a few teams of one or two people, and each time I’ve regretted it. To repeat: I have regretted it every single time. An important property of teams is that they abstract the complexities of the individuals that compose them. Teams with fewer than four individuals are a sufficiently leaky abstraction that they function indistinguishably from individuals. To reason about a small team’s delivery, you’ll have to know about each on-call shift, vacation, and interruption.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,248
"On-call rotations want eight engineers For production on-call responsibilities,4 I’ve found that two-tier 24/7 support requires eight engineers. As teams holding their own pagers have become increasingly mainstream, this has become an important sizing constraint, and I try to ensure that every engineering team’s steady state is eight people. Shared rotations. It is sometimes necessary to pool multiple teams together to reach the eight engineers necessary for a 24/7 on-call rotation. This is an effective intermediate step toward teams owning their own on-call rotations, but it is not a good long-term solution. Most folks find being on-call for components that they’re unfamiliar with to be disproportionately stressful.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,240
"Organizational design gets the right people in the right places, empowers them to make decisions, and then holds them accountable for their results.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,178
"Compounding leverage. What are the composable blocks you could start building today that would compound into major product or technical leverage10 over time? I think of this category of work as finding ways to get the benefit at least twice. These are potentially tasks that initially don’t seem important enough to prioritize, but whose compounding value makes the work possible to prioritize.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,700
"Competitive moats. Moats are a more extreme version of a competitive advantage. Moats represent a sustaining competitive advantage, which makes it possible for you to pursue offerings that others simply cannot. It’s useful to consider moats in three different ways: What do your existing moats enable you to do today? What are the potential moats you could build for the future? What moats are your competitors luxuriating behind?",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,696
"you only get value from projects when they finish: to make progress, above all else, you must ensure that some of your projects finish.",An Elegant Puzzle: Systems of Engineering Management,Will Larson,B07QYCHJ7V,,yellow,,location,467
"asking, “What assumptions are you making? And are they justified?”",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,yellow,,location,249
"Here’s an old mathematician’s trick that makes the picture perfectly clear: set some variables to zero. In this case, the variable to tweak is the probability that a plane that takes a hit to the engine manages to stay in the air. Setting that probability to zero means a single shot to the engine is guaranteed to bring the plane down. What would the data look like then? You’d have planes coming back with bullet holes all over the wings, the fuselage, the nose—but none at all on the engine.",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,yellow,,location,236
Nonlinear thinking means which way you should go depends on where you already are.,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,yellow,,location,440
"The military analyst has two options for explaining this: either the German bullets just happen to hit every part of the plane but one, or the engine is a point of total vulnerability. Both stories explain the data, but the latter makes a lot more sense. The armor goes where the bullet holes aren’t.",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,yellow,,location,240
"Get that surface right, and you can work backward to figure out the underlying systems or technology. Focusing on the surface allows you to move fast and answer big questions before you commit to execution, which is why any challenge, no matter how large, can benefit from a sprint.",Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,"Jake Knapp, John Zeratsky, and Braden Kowitz",B010MH1DAQ,,yellow,,location,395
"Five days provide enough urgency to sharpen focus and cut out useless debate, but enough breathing room to build and test a prototype without working to exhaustion. And because most companies use a five-day workweek, it’s feasible to slot a five-day sprint into existing schedules.",Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,"Jake Knapp, John Zeratsky, and Braden Kowitz",B010MH1DAQ,,yellow,,location,545
"First, the sprint forces your team to focus on the most pressing questions. Second, the sprint allows you to learn from just the surface of a finished product.",Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,"Jake Knapp, John Zeratsky, and Braden Kowitz",B010MH1DAQ,,yellow,,location,388
The surface is important. It’s where your product or service meets customers.,Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,"Jake Knapp, John Zeratsky, and Braden Kowitz",B010MH1DAQ,,yellow,,location,392
"In moderation, cascading makes an operation more coherent. But when all objectives are cascaded, the process can degrade into a mechanical, color-by-numbers exercise, with four adverse effects: A loss of agility. Even medium-size companies can have six or seven reporting levels. As everyone waits for the waterfall to trickle down from above, and meetings and reviews sprout like weeds, each goal cycle can take weeks or even months to administer. Tightly cascading organizations tend to resist fast and frequent goal setting. Implementation is so cumbersome that quarterly OKRs may prove impractical. A lack of flexibility. Since it takes so much effort to formulate cascaded goals, people are reluctant to revise them mid-cycle. Even minor updates can burden those downstream, who are scrambling to keep their goals aligned. Over time, the system grows onerous to maintain. Marginalized contributors. Rigidly cascaded systems tend to shut out input from frontline employees. In a top-down ecosystem, contributors will hesitate to share goal-related concerns or promising ideas. One-dimensional linkages. While cascading locks in vertical alignment, it’s less effective in connecting peers horizontally, across departmental lines.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,B078FZ9SYB,,yellow,,location,1125
"Everything seems important; everything seems urgent. But what really needs to get done?” The answer lies in focused, transparent OKRs. They knit each individual’s work to team efforts, departmental projects, and the overall mission. As a species, we crave connection. In the workplace, we’re naturally curious about what our leaders are doing and how our work weaves into theirs. OKRs are the vehicle of choice for vertical alignment.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,B078FZ9SYB,,yellow,,location,1084
"Unfortunately, alignment is rare. Studies suggest that only 7 percent of employees “fully understand their company’s business strategies and what’s expected of them in order to help achieve the common goals.” A lack of alignment, according to a poll of global CEOs, is the number-one obstacle between strategy and execution.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,B078FZ9SYB,,yellow,,location,1079
"We created quarterly OKRs and annual OKRs, and rolled them out to everybody at Nuna from day one. We were tiny then, around twenty people—not such a big lift, you might think. But the process didn’t take. Some people never set their individual OKRs; others set them, but stuck them in a drawer. With hindsight, I would have started with our leadership team of five. For structured goal setting to prosper, as our company learned the hard way, executives need to commit to the process. It may take a quarter or two to overcome your managers’ resistance and get them acclimated to OKRs—to view them not as a necessary evil, or some perfunctory exercise, but as a practical tool to fulfill your organization’s top priorities. Until your executives are fully on board, you can’t expect contributors to follow suit—especially when a company’s OKRs are aspirational.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,B078FZ9SYB,,yellow,,location,999
"Above all, top-line objectives must be significant. OKRs are neither a catchall wish list nor the sum of a team’s mundane tasks. They’re a set of stringently curated goals that merit special attention and will move people forward in the here and now. They link to the larger purpose we’re expected to deliver around.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,B078FZ9SYB,,yellow,,location,810
"The one thing an [OKR] system should provide par excellence is focus. This can only happen if we keep the number of objectives small. . . . Each time you make a commitment, you forfeit your chance to commit to something else. This, of course, is an inevitable, inescapable consequence of allocating any finite resource. People who plan have to have the guts, honesty, and discipline to drop projects as well as to initiate them, to shake their heads “no” as well as to smile “yes.” . . . We must realize—and act on the realization—that if we try to focus on everything, we focus on nothing.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,B078FZ9SYB,,yellow,,location,805
"In most cases, the ideal number of quarterly OKRs will range between three and five. It may be tempting to usher more objectives inside the velvet rope, but it’s generally a mistake. Too many objectives can blur our focus on what counts, or distract us into chasing the next shiny thing.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,B078FZ9SYB,,yellow,,location,795
What are our main priorities for the coming period? Where should people concentrate their efforts?,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,B078FZ9SYB,,yellow,,location,684
"people walk out of meetings saying, “I’m going to conquer the world” . . . and three months later, nothing has happened. You get people whipped up with enthusiasm, but they don’t know what to do with it.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,B078FZ9SYB,,yellow,,location,645
Ideas are easy. Execution is everything.,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,B078FZ9SYB,,yellow,,location,161
"Andy Grove’s quantum leap was to apply manufacturing production principles to the “soft professions,” the administrative, professional, and managerial ranks. He sought to “create an environment that values and emphasizes output” and to avoid what Drucker termed the “activity trap”: “[S]tressing output is the key to increasing productivity, while looking to increase activity can result in just the opposite.”","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,B078FZ9SYB,,yellow,,location,407
"defined OKRs: “A management methodology that helps to ensure that the company focuses efforts on the same important issues throughout the organization.” An OBJECTIVE, I explained, is simply WHAT is to be achieved, no more and no less. By definition, objectives are significant, concrete, action oriented, and (ideally) inspirational. When properly designed and deployed, they’re a vaccine against fuzzy thinking—and fuzzy execution. KEY RESULTS benchmark and monitor HOW we get to the objective. Effective KRs are specific and time-bound, aggressive yet realistic. Most of all, they are measurable and verifiable.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,B078FZ9SYB,,yellow,,location,171
"At smaller start-ups, where people absolutely need to be pulling in the same direction, OKRs are a survival tool. In the tech sector, in particular, young companies must grow quickly to get funding before their capital runs dry. Structured goals give backers a yardstick for success: We’re going to build this product, and we’ve proven the market by talking to twenty-five customers, and here’s how much they’re willing to pay. At medium-size, rapidly scaling organizations, OKRs are a shared language for execution. They clarify expectations: What do we need to get done (and fast), and who’s working on it? They keep employees aligned, vertically and horizontally. In larger enterprises, OKRs are neon-lit road signs. They demolish silos and cultivate connections among far-flung contributors. By enabling frontline autonomy, they give rise to fresh solutions. And they keep even the most successful organizations stretching for more.","Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,B078FZ9SYB,,yellow,,location,243
